EVS LdF 1981-2008 Variable name (ZA4804),EVS LdF 1981-2008 variable label (ZA4804),EVS 1981             ,EVS 1990        ,EVS 1999  ,EVS 2008 ,Thematic categories
S025A,Country - year [with split ups],,cntry1_y,cntry1_y,cntry1_y,Archive/ID Variables and Interview Characteristics
S029,GESIS study number,,,,,Archive/ID Variables and Interview Characteristics
S030,GESIS Archive Version,version,version,version,version,Archive/ID Variables and Interview Characteristics
S031,Digital Object Identifier,,,,,Archive/ID Variables and Interview Characteristics
S032,GESIS study number (EVS wave),studyno,studyno,studyno ,studyno,Archive/ID Variables and Interview Characteristics
S033,GESIS archive version (EVS wave),,,,,Archive/ID Variables and Interview Characteristics
S034,GESIS study number (EVS national datasets),studynoc,studynoc,studynoc,studynoc,Archive/ID Variables and Interview Characteristics
S035,GESIS archive version (EVS national datasets),versionc,versionc,versionc,versionc,Archive/ID Variables and Interview Characteristics
S036,Flag variable: Duplicate Cases,,,,,Archive/ID Variables and Interview Characteristics
A001,Important in life: Family,,q117b,v2,v2,Perceptions of Life
A002,Important in life: Friends,,q118c,v3,v3,Perceptions of Life
A003,Important in life: Leisure time,,q119d,v4,v4,Perceptions of Life
A004,Important in life: Politics,,q120e,v5,v5,Perceptions of Life
A005,Important in life: Work,,q116a,v1,v1,Perceptions of Life
A006,Important in life: Religion,,q121f,v6,v6,Perceptions of Life
A007,Service to others important in life,,,v6_se,,Perceptions of Life
A008,Feeling of happiness,v212,q130,v11,v8,Perceptions of Life
A009,State of health (subjective),v156,q230,,v9,Perceptions of Life
A010,Ever felt very excited or interested,v157,q231a,,,Perceptions of Life
A011,Ever felt restless,v158,q232b,,,Perceptions of Life
A012,Ever felt proud because someone complimented you,v159,q233c,,,Perceptions of Life
A013,Ever felt very lonely or remote from other people,v160,q234d,,,Perceptions of Life
A014,Ever felt pleased about having accomplished something,v161,q235e,,,Perceptions of Life
A015,Ever felt bored,v162,q236f,,,Perceptions of Life
A016,Ever felt on top of the world,v163,q237g,,,Perceptions of Life
A017,Ever felt depressed or very unhappy,v164,q238h,,,Perceptions of Life
A018,Ever felt that things were going your way,v165,q239i,,,Perceptions of Life
A019,Ever felt upset because somebody criticized you,v166,q240j,,,Perceptions of Life
A020,"When you are home, do you feel relaxed",v349,,,,Perceptions of Life
A021,"When you are home, do you feel anxious",v350,,,,Perceptions of Life
A022,"When you are home, do you feel happy",v351,,,,Perceptions of Life
A023,"When you are home, do you feel aggressive",v352,,,,Perceptions of Life
A024,"When you are home, do you feel secure",v353,,,,Perceptions of Life
A025,Respect and love for parents,v427,q451,v162,v167,Perceptions of Life
A026,Parents responsibilities to their children,v428,q452,v163,v168,Perceptions of Life
A026_01,Children responsibilities to their parents in need at expense of/not sacrifice own well-being,,,,v169,Perceptions of Life
A027,Important child qualities: good manners,v430,q453a,v164,v170,Perceptions of Life
A028,Important child qualities: politeness and neatness,v431,,,,Perceptions of Life
A029,Important child qualities: independence,v432,q454b,v165,v171,Perceptions of Life
A030,Important child qualities: hard work,v433,q455c,v166,v172,Perceptions of Life
A031,Important child qualities: honesty,v434,,,,Perceptions of Life
A032,Important child qualities: feeling of responsibility,v435,q456d,v167,v173,Perceptions of Life
A033,Important child qualities: patience,v436,,,,Perceptions of Life
A034,Important child qualities: imagination,v437,q457e,v168,v174,Perceptions of Life
A035,Important child qualities: tolerance and respect for other people,v438,q458f,v169,v175,Perceptions of Life
A036,Important child qualities: leadership,v439,,,,Perceptions of Life
A037,Important child qualities: self-control,v440,,,,Perceptions of Life
A038,Important child qualities: thrift saving money and things,v441,q459g,v170,v176,Perceptions of Life
A039,Important child qualities: determination perseverance,v442,q460h,v171,v177,Perceptions of Life
A040,Important child qualities: religious faith,v443,q461i,v172,v178,Perceptions of Life
A041,Important child qualities: unselfishness,v444,q462j,v173,v179,Perceptions of Life
A042,Important child qualities: obedience,v445,q463k,v174,v180,Perceptions of Life
A043,Important child qualities: loyalty,v446,,,,Perceptions of Life
A043_01,Important child qualities: none,,,,v181,Perceptions of Life
A043_01F,Flag variable: Important child qualities: none,,,,f181,Perceptions of Life
A043_F,Flag variable: Important child qualities,f446,f463,f174,f180,Perceptions of Life
A046,Abortion when the mothers health is at risk,v523,q465a,,,Perceptions of Life
A047,Abortion when child physically handicapped,v524,q466b,,,Perceptions of Life
A048,Abortion when woman not married,v525,q467c,v177,v184,Perceptions of Life
A049,Abortion if not wanting more children,v526,q468d,v178,v185,Perceptions of Life
A050,Way of spending leisure time,v111,,,,Perceptions of Life
A050_01,Leisure time: meeting nice people,,,,v97,Perceptions of Life
A050_02,Leisure time: relaxing,,,,v98,Perceptions of Life
A050_03,Leisure time: doing as I want,,,,v99,Perceptions of Life
A050_04,Leisure time: learning something new,,,,v100,Perceptions of Life
A051,Spend leisure time: alone,v112,,,,Perceptions of Life
A052,Spend leisure time: with family,v113,,,,Perceptions of Life
A053,Spend leisure time: with friends,v114,,,,Perceptions of Life
A054,Spend leisure time: in a lively place,v115,,,,Perceptions of Life
A055,Spend leisure time: all equally,v116,,,,Perceptions of Life
A056,Spend leisure time with: don’t know,v117,,,,Perceptions of Life
A058,Spend time with friends,,,v48,,Perceptions of Life
A059,Spend time with colleagues from work,,,v49,,Perceptions of Life
A060,"Spend time with people at your church, mosque or synagogue",,,v50,,Perceptions of Life
A061,"Spend time with people at sport, culture, communal organization",,,v51,,Perceptions of Life
A062,How often discusses political matters with friends,v530,q122,v7,v7,Perceptions of Life
A063,"Persuading friends, relatives or fellow workers",v529,q123,,,Perceptions of Life
A064,Member: Belong to social welfare service,v118,q131a,v12,v10,Perceptions of Life
A065,Member: Belong to religious organization,v119,q132a,v13,v11,Perceptions of Life
A066,Member: Belong to cultural activities,v120,q133a,v14,v12,Perceptions of Life
A067,Member: Belong to labour unions,v121,q134a,v15,v13,Perceptions of Life
A068,Member: Belong to political parties,v122,q135a,v16,v14,Perceptions of Life
A069,Member: Belong to local political actions,,q136a,v17,v15,Perceptions of Life
A070,Member: Belong to human rights,v123,q137a,v18,v16,Perceptions of Life
A071,"Member: Belong to conservation, the environment, animal rights",v124,,v19,v17,Perceptions of Life
A071B,"Member: Belong to conservation, the environment",,q138a,,,Perceptions of Life
A071C,Member: Belong to animal rights,,q144a,,,Perceptions of Life
A072,Member: Belong to professional associations,v127,q139a,v20,v18,Perceptions of Life
A073,Member: Belong to youth work,v125,q140a,v21,v19,Perceptions of Life
A074,Member: Belong to sports or recreation,,q141a,v22,v20,Perceptions of Life
A075,Member: Belong to women´s group,,q142a,v23,v21,Perceptions of Life
A076,Member: Belong to peace movement,,q143a,v24,v22,Perceptions of Life
A077,Member: Belong to organization concerned with health,,q145a,v25,v23,Perceptions of Life
A078,Belong: Consumer groups,v126,,,,Perceptions of Life
A079,Member: Belong to other groups,,q146a,v26,v24,Perceptions of Life
A080,Member: Belong to none,v128,q147,v27,v25,Perceptions of Life
A080_F,Flag variable: do you belong to: none,f128,,,f25,Perceptions of Life
A081,Voluntary work: Unpaid work social welfare service,v129,q149b,v30,v28,Perceptions of Life
A082,Voluntary work: Unpaid work religious or church organization,v130,q150b,v31,v29,Perceptions of Life
A083, Voluntary work: Unpaid work education or cultural activities,v131,q151b,v32,v30,Perceptions of Life
A084,Voluntary work: Unpaid work labour unions,v132,q152b,v33,v31,Perceptions of Life
A085,Voluntary work: Unpaid work political parties or groups,v133,q153b,v34,v32,Perceptions of Life
A086,Voluntary work: Unpaid work local political action groups,,q154b,v35,v33,Perceptions of Life
A087,Voluntary work: Unpaid work human rights,v134,q155b,v36,v34,Perceptions of Life
A088,"Voluntary work: Unpaid work environment, conservation, animal rights",v135,,v37,v35,Perceptions of Life
A088B,"Voluntary work: Unpaid work environment, conservation, ecology",,q156b,,,Perceptions of Life
A088C,Voluntary work: Unpaid work animal rights,,q162b,,,Perceptions of Life
A089,Voluntary work: Unpaid work professional associations,v138,q157b,v38,v36,Perceptions of Life
A090,Voluntary work: Unpaid work youth work,v136,q158b,v39,v37,Perceptions of Life
A091,Voluntary work: Unpaid work sports or recreation,,q159b,v40,v38,Perceptions of Life
A092,Voluntary work: Unpaid work women´s group,,q160b,v41,v39,Perceptions of Life
A093,Voluntary work: Unpaid work peace movement,,q161b,v42,v40,Perceptions of Life
A094,Voluntary work: Unpaid work organization concerned with health,,q163b,v43,v41,Perceptions of Life
A095,Voluntary work: Unpaid work consumer groups,v137,,,,Perceptions of Life
A096,Voluntary work: Unpaid work other groups,,q164b,v44,v42,Perceptions of Life
A097,Voluntary work: Unpaid work none,v139,q165,v45,v43,Perceptions of Life
A097_F,Flag variable: do you work unpaid for: none,f139,,,f43,Perceptions of Life
A107,Reasons voluntary work: Solidarity with the poor and disadvantaged,,q167a,,,Perceptions of Life
A108,Reasons voluntary work: Compassion for those in need,,q168b,,,Perceptions of Life
A109,Reasons voluntary work: Opportunity to repay something,,q169c,,,Perceptions of Life
A110,"Reasons voluntary work: Sense of duty, moral, obligation",,q170d,,,Perceptions of Life
A111,Reasons voluntary work: Identifying with people who suffer,,q171e,,,Perceptions of Life
A112,Reasons voluntary work: Time on my hands,,q172f,,,Perceptions of Life
A113,Reasons voluntary work: Personal satisfaction,,q173g,,,Perceptions of Life
A114,Reasons voluntary work: Religious belief,,q174h,,,Perceptions of Life
A115,Reasons voluntary work: Help disadvantaged people,,q175i,,,Perceptions of Life
A116,Reasons voluntary work: Make a contribution to my local community,,q176j,,,Perceptions of Life
A117,Reasons voluntary work: Bring about social or political change,,q177k,,,Perceptions of Life
A118,Reasons voluntary work: For social reasons,,q178l,,,Perceptions of Life
A119,Reasons voluntary work: Gain new skills and useful experience,,q179m,,,Perceptions of Life
A120,"Reasons voluntary work: Did not want to, but could not refuse",,q180n,,,Perceptions of Life
A121,Dislike being with people with different ideas,v142,,,,Perceptions of Life
A122,Do you ever feel very lonely,v143,,,,Perceptions of Life
A123,People´s will to help each other today,v144,,,,Perceptions of Life
A124_01,Neighbours: People with a criminal record,v145,q216a,v52,v46,Perceptions of Life
A124_02,Neighbours: People of a different race,v146,q217b,v53,v47,Perceptions of Life
A124_03,Neighbours: Heavy drinkers,v150,q219d,v55,v49,Perceptions of Life
A124_04,Neighbours: Emotionally unstable people,v153,q222g,v58,v52,Perceptions of Life
A124_05,Neighbours: Muslims,,q223h,v59,v53,Perceptions of Life
A124_06,Neighbours: Immigrants/foreign workers,v155,q224i,v60,v54,Perceptions of Life
A124_07,Neighbours: People who have AIDS,,q225j,v61,v55,Perceptions of Life
A124_08,Neighbours: Drug addicts,,q226k,v62,v56,Perceptions of Life
A124_09,Neighbours: Homosexuals,,q227l,v63,v57,Perceptions of Life
A124_10,Neighbours: Jews,,q228m,v64,v58,Perceptions of Life
A124_17,Neighbours: Gypsies,,,v65,v59,Perceptions of Life
A124_24,Neighbours: Christians,,,v59_tr,v60,Perceptions of Life
A124_26,Neighbours: Left wing extremists,v148,q218c,v54,v48,Perceptions of Life
A124_27,Neighbours: Right wing extremists,v151,q220e,v56,v50,Perceptions of Life
A124_28,Neighbours: People with large families,v152,q221f,v57,v51,Perceptions of Life
A124_29,Neighbours: Hindus,,q229n,o1,,Perceptions of Life
A124_39,Neighbours: Students,v147,,,,Perceptions of Life
A124_40,Neighbours: Unmarried mothers,v149,,,,Perceptions of Life
A124_41,Neighbours: Members of minority religious sects or cults,v154,,,,Perceptions of Life
A165,Most people can be trusted,v208,q241,v66,v62,Perceptions of Life
A166,Young peoples trust in older people,v209,,,,Perceptions of Life
A167,Older peoples trust in young people,v210,,,,Perceptions of Life
A168,Do you think most people try to take advantage of you,,,v66_se,,Perceptions of Life
A168_01,Most of the time people try to be helpful or mostly looking out for themselves,,,,v64,Perceptions of Life
A168A,Do you think most people try to take advantage of you (10 point scale),,,,v63,Perceptions of Life
A169,Good human relationships,,,v282_se ,,Perceptions of Life
A170,Satisfaction with your life,v213,q244,v68,v66,Perceptions of Life
A171,Satisfaction with your life 5 years ago,v214,,,,Perceptions of Life
A172,Expected satisfaction with your life in 5 years,v215,,,,Perceptions of Life
A173,How much freedom of choice and control,v211,q242,v67,v65,Perceptions of Life
B001,Would give part of my income for the environment,,q124a,v8,v295,Environment
B002,Increase in taxes if used to prevent environmental pollution,,q125b,v9,,Environment
B003,Government should reduce environmental pollution,,q126c,v10,,Environment
B005,All talk about the environment make people anxious,,q127d,,,Environment
B006,"Combatting unemployment, we have to accept environmental problems",,q128e,,,Environment
B007,Protecting environment and fighting pollution is less urgent than suggested,,q129f,,,Environment
B008,Protecting environment vs. Economic growth,,,v280_se,,Environment
B009,Human & nature,,,v281_se ,,Environment
B024,Environment: approaching the limit of people,,,,v296,Environment
B025,Environment: interference produces disastrous consequences,,,,v297,Environment
B026,Environment: human ingenuity insures earth remaining fit,,,,v298,Environment
B027,Environment: nature is strong enough to cope with impacts of industry,,,,v299,Environment
B028,Environment: humans were meant to rule over nature,,,,v300,Environment
B029,Environment: if things continue we will experience a catastrophe,,,,v301,Environment
C001,Jobs scarce: Men should have more right to a job than women,,q316a,v99,v103,Work
C002,Jobs scarce: Employers should give priority to (nation) people than immigrants,,q318c,v98,v102,Work
C003,Jobs scarce: Jobs to local people,,,o5,,Work
C004,Jobs scarce: older people should be forced to retire,,q317b,,,Work
C005,Unfair to give work to handicapped people when able bodied people can´t find jobs,,q319d,,,Work
C006,Satisfaction with financial situation of household,v247,q320,,,Work
C007,Financial situation of household in 12months,v248,,,,Work
C011,Important in a job: good pay,v216,q248a,v71,v69,Work
C012,Important in a job: not too much pressure,v218,q250c,v73,v71,Work
C013,Important in a job: good job security,v219,q251d,v74,v72,Work
C014,Important in a job: a respected job,v221,q253f,v76,,Work
C015,Important in a job: good hours,v222,q254g,v77,v73,Work
C016,Important in a job: an opportunity to use initiative,v223,q255h,v78,v74,Work
C017,Important in a job: generous holidays,v225,q257j,v80,v76,Work
C018,Important in a job: that you can achieve something,v227,q259l,v82,v78,Work
C019,Important in a job: a responsible job,v228,q260m,v83,v79,Work
C020,Important in a job: a job that is interesting,v229,q261n,v84,v80,Work
C021,Important in a job: a job that meets one´s abilities,v230,q262o,v85,v81,Work
C022,Important in a job: pleasant people to work with,v217,q249b,v72,v70,Work
C023,Important in a job: good chances for promotion,v220,q252e,v75,,Work
C024,Important in a job: a useful job for society,v224,q256i,v79,v75,Work
C025,Important in a job: meeting people,v226,q258k,v81,v77,Work
C026,Important in a job: good physical working conditions,,,o2,,Work
C027,Important in a job: to have time off at the weekends,,,o3,,Work
C027_1,Important in a job: learning new skills,,,,v82,Work
C027_2,Important in a job: family friendly,,,,v83,Work
C027_3,Important in a job: have a say,,,,v84,Work
C027_4,Important in a job: people treated equally,,,,v85,Work
C028,Important in a job: none of these,v231,q263,v86,v86,Work
C028_F,Flag variable: important in a job: none of these,f231,,f86,f86,Work
C029,Employed,,,v87,v89,Work
C030,Look forward to work after weekend,v232,,,,Work
C031,Degree of pride in your work,v233,q265,,,Work
C032,Often exploited in your job,v234,,,,Work
C033,Job satisfaction,v246,q266,v88,v90,Work
C034,Freedom decision taking in job,v235,q268,v89,v91,Work
C035,Satisfaction job security,,,o4,,Work
C036,To develop talents you need to have a job,,,v90,v92,Work
C037,Humiliating to receive money without having to work for it,,,v91,v93,Work
C038,People who don´t work turn lazy,,,v92,v94,Work
C039,Work is a duty towards society,,,v93,v95,Work
C040,People should not have to work if they don´t want to,,,v94,,Work
C041,Work should come first even if it means less spare time,,,v95,v96,Work
C042B1,Why people work: work is like a business transaction,,q270,,,Work
C042B2,Why people work: I do the best I can regardless of pay,,q271,,,Work
C042B3,Why people work: I wouldn’t work if I didn’t have to,,q272,,,Work
C042B4,Why people work: I wouldn´t work if work interfered my life,,q273,,,Work
C042B5,Why people work: work most important in my life,,q274,,,Work
C042B6,Why people work: I never had a paid job,,q275,,,Work
C042B7,Why people work: don’t know,,q276,,,Work
C049,Paid free days: find extra work for money,v236,,,,Work
C050,Paid free days: use spare time to study,v237,,,,Work
C051,Paid free days: spend time with family and friends,v238,,,,Work
C052,Paid free days: find additional work to avoid boredom,v239,,,,Work
C053,Paid free days: use spare time for voluntary work,v240,,,,Work
C054,Paid free days: spend time on hobbies,v241,,,,Work
C055,Paid free days: run own business in spare time,v242,,,,Work
C056,Paid free days: spend the time relaxing,v243,,,,Work
C057,Paid free days: none of these,v244,,,,Work
C057_F,Flag variable: paid free days: none,f244,,,,Work
C058,Paid free days: don’t know,v245,,,,Work
C059,Fairness: One secretary is paid more,v249,q277,v96,,Work
C060,How business and industry should be managed,v250,q278,,,Work
C061,Following instructions at work,v251,q279,v97,v101,Work
D001,How much do you trust your family (5 categories),,q671a,,,Family
D002,Satisfaction with home life,v354,q370,,,Family
D003,Sharing with partner: attitudes towards religion,v356,q374,,,Family
D004,Sharing with partner: moral standards,v357,q375,,,Family
D005,Sharing with partner: social attitudes,v358,q376,,,Family
D006,Sharing with partner: political views,v359,q377,,,Family
D007,Sharing with partner: sexual attitudes,v360,q378,,,Family
D008,Sharing with partner: no sharing attitudes,v361,q379,,,Family
D008_F,Flag variable: share with partner: none of these,f361,f379,,,Family
D009,Sharing with partner: don´t know or missing,v362,,,,Family
D010,Sharing with parents: attitudes towards religion,v363,q416,,,Family
D011,Sharing with parents: moral standards,v364,q417,,,Family
D012,Sharing with parents: social attitudes,v365,q418,,,Family
D013,Sharing with parents: political views,v366,q419,,,Family
D014,Sharing with parents: sexual attitudes,v367,q420,,,Family
D015,Sharing with parents: no sharing attitudes,v368,q421,,,Family
D015_F,Flag variable: share with parents: none of these,f368,f421,,,Family
D016,Sharing with parents: don´t know or missing,v369,,,,Family
D017,Ideal number of children,v412,q439,v302_se,,Family
D018,Child needs a home with father and mother,v424,q441,v148,v148,Family
D019,A woman has to have children to be fulfilled,v425,q442,v149,v149,Family
D020,A man has to have children to be fulfilled,,,v152,v152,Family
D021,Sex cannot entirely be left to individual choice,v426,,,,Family
D022,Marriage is an out-dated institution,v370,q443,v150,v150,Family
D023,Woman as a single parent,v429,q444,v151,v151,Family
D024,Enjoy sexual freedom,v371,q423,,,Family
D026,Long-term relationship is necessary to be happy,,,v153,v153,Family
D026_01,Homosexual couples - adopt children,,,,v154,Family
D026_02,It is alright to live together without getting married,,,,v155,Family
D026_03,Duty towards society to have children,,,,v156,Family
D026_04,People should decide themselves to have children,,,,v157,Family
D026_05,It is childs duty to take care of ill parent,,,,v158,Family
D027,Important for successful marriage: Faithfulness,v372,q424a,v133,v136,Family
D028,Important for successful marriage: Adequate income,v373,q425b,v134,v137,Family
D029,Important for successful marriage: Same social background,v374,q426c,v135,v138,Family
D030,Important for successful marriage: Respect and appreciation,v375,q427d,v136,,Family
D031,Important for successful marriage: Religious beliefs,v376,q428e,v137,v139,Family
D032,Important for successful marriage: Good housing,v377,q429f,v138,v140,Family
D033,Important for successful marriage: Agreement on politics,v378,q430g,v139,v141,Family
D034,Important in successful marriage: Understanding and tolerance,v379,q431h,v140,,Family
D035,Important for successful marriage: Apart from in-laws,v380,q432i,v141,v142,Family
D036,Important for successful marriage: Happy sexual relationship,v408,q433j,v142,v143,Family
D037,Important for successful marriage: Sharing household chores,v409,q434k,v143,v144,Family
D038,Important for successful marriage: Children,v410,q435l,v144,v145,Family
D039,Important in successful marriage: Discussing problems,,,v145,v146,Family
D040,Important for successful marriage: Spending time together,,,v146,,Family
D041,Important in successful marriage: Talking,,,v147,,Family
D042,Important for successful marriage: Same ethnic background,,,o16,,Family
D043,Important for successful marriage: Tastes and interests in common,v411,q436m,,,Family
D043_01,Important for successful marriage: Time for friends and personal hobbies,,,,v147,Family
D044,Divorce: when financially broke,v414,,,,Family
D044A,Divorce: when partner ill for a long time,v413,,,,Family
D045,Divorce: when partner is a heavy drinker,v415,,,,Family
D046,Divorce: when partner is violent,v416,,,,Family
D047,Divorce: when partner is unfaithful,v417,,,,Family
D048,Divorce: when sexual relationship is not satisfactory,v418,,,,Family
D049,Divorce: when partner has ceased to love,v419,,,,Family
D050,Divorce: when can not stand relatives,v420,,,,Family
D051,Divorce: when can not have children,v421,,,,Family
D052,Divorce: when personalities do not watch,v422,,,,Family
D053,Divorce: none of these,v423,,,,Family
D053_F,Flag variable: divorce: none of these,f423,,,,Family
D054,One of main goals in life has been to make my parents proud,,,v163_se,,Family
D056,Relationship working mother,,q445a,v154,v159,Family
D057,Being a housewife just as fulfilling,,q448d,v157,v162,Family
D058,Husband and wife should both contribute to income,,q450f,v159,v164,Family
D059,Men make better political leaders than women do,,,v161_se,,Family
D060,University is more important for a boy than for a girl,,,v162_se,,Family
D061,Pre-school child suffers with working mother,,q446b,v155,v160,Family
D062,Women want a home and children,,q447c,v156,v161,Family
D063,Job best way for women to be independent (4 categories),,q449e,v158,v163,Family
D064,Fathers are well suited for looking after children,,,v160,v165,Family
D064_01,Men should take as much responsibility as women for home and children,,,,v166,Family
D065,Men are less able to handle emotions,,,v161,,Family
E001,Aims of country: first choice,,q530a,v191_se,,Politics and Society
E001_F,Flag variable: aims of this country - most /second important,,f530a,f192_se,,Politics and Society
E002,Aims of country: second choice,,q531b,v192_se,,Politics and Society
E003,Aims of respondent: first choice,v460,q532a,v190,v201,Politics and Society
E003_F,Flag variable: aims of respondent: first/second choice,f460,f532a,,f201,Politics and Society
E004,Aims of respondent: second choice,v461,q533b,v191,v202,Politics and Society
E005,Most important: first choice,,q534a,v193_se,,Politics and Society
E005_F,Flag variable:aims of respondent II: first choice/second choice,,f534a,f194_se,,Politics and Society
E006,Most important: second choice,,q535b,v194_se,,Politics and Society
E011,The main aim of imprisonment,v462,,,,Politics and Society
E012,Willingness to fight for country,v267,q536,o24,,Politics and Society
E013,Will there be war in your country in the next 5 years,v268,,,,Politics and Society
E014,Future changes: Less emphasis on money and material possessions,v463,q537a,v192,v203,Politics and Society
E015,Future changes: Less importance placed on work,v464,q538b,v193,,Politics and Society
E016,Future changes: More emphasis on technology,v465,q539c,v194,,Politics and Society
E017,Future changes: More emphasis on individual,v466,q540d,v195,,Politics and Society
E018,Future changes: Greater respect for authority,v467,q541e,v196,v204,Politics and Society
E019,Future changes: More emphasis on family life,v468,q542f,v197,,Politics and Society
E020,Future changes: A simple and more natural lifestyle,v469,q543g,v198,,Politics and Society
E021,Future changes: More power to local authorities,,,v199,,Politics and Society
E022,Opinion about scientific advances,v252,q544,o25,,Politics and Society
E023,Interest in politics,,q471,o17,v186,Politics and Society
E024,Interest in politics (ii),v449,,,,Politics and Society
E025,Political action: signing a petition,v450,q472a,v179,v187,Politics and Society
E026,Political action: joining in boycotts,v451,q473b,v180,v188,Politics and Society
E027,Political action: attending lawful demonstrations,v452,q474c,v181,v189,Politics and Society
E028,Political action: joining unofficial strikes,v453,q475d,v182,v190,Politics and Society
E029,Political action: occupying buildings or factories,v454,q476e,v183,v191,Politics and Society
E030,"Political action: damaging things, breaking windows, street violence",v455,,,,Politics and Society
E031,Political action: personal violence,v456,,,,Politics and Society
E032,Freedom or equality,v457,q477,v184,v192,Politics and Society
E033,Self positioning in political scale,v458,q478,v185,v193,Politics and Society
E034,Basic kinds of attitudes concerning society,v459,q480,o23,v200,Politics and Society
E035,Income equality,,q516a,o18,v198,Politics and Society
E036,Private vs state ownership of business,,q518b,o19,v199,Politics and Society
E037,Government responsibility,,q520c,v186,v194,Politics and Society
E038,Job taking of the unemployed,,q522d,v187,v195,Politics and Society
E039,Competition good or harmful,,q524e,v188,v196,Politics and Society
E040,Hard work brings success,,q526f,,,Politics and Society
E041,Wealth accumulation,,q528g,,,Politics and Society
E042,Firms and freedom,,,v189,v197,Politics and Society
E043,Responsibility pension,,,o20,,Politics and Society
E044,Responsibility housing,,,o21,,Politics and Society
E045,Major changes in life,,q651a,o22,,Politics and Society
E046,New and old ideas,,q653b,,,Politics and Society
E047,"Personal characteristics: Changes, worry or welcome possibility",,q655c,,,Politics and Society
E048,Personal characteristics: I usually count on being successful in everything I do,,q657a,,,Politics and Society
E049,Personal characteristics: I enjoy convincing others of my opinion,,q658b,,,Politics and Society
E050,Personal characteristics: I serve as a model for others,,q659c,,,Politics and Society
E051,Personal characteristics: I am good at getting what I want,,q660d,,,Politics and Society
E052,Personal characteristics: I own many things others envy me for,,q661e,,,Politics and Society
E053,Personal characteristics: I like to assume responsibility,,q662f,,,Politics and Society
E054,Personal characteristics: I am rarely unsure about how I should behave,,q663g,,,Politics and Society
E055,Personal characteristics: I often give others advice,,q664h,,,Politics and Society
E056,Personal characteristics: None of the above,,q665,,,Politics and Society
E056_F,Flag variable: personal characteristics: none of the above,,f665,,,Politics and Society
E057,The economic system needs fundamental changes,,q666a,,,Politics and Society
E058,Our government should be made much more open to the public,,q667b,,,Politics and Society
E059,Allow more freedom for individuals,,q668c,,,Politics and Society
E060,I could do nothing about an unjust law,,q669d,,,Politics and Society
E061,Political reform is moving too rapidly,,q670e,,,Politics and Society
E069_01,Confidence: Churches,v538,q545a,v200,v205,Politics and Society
E069_02,Confidence: Armed Forces,v539,q546b,v201,v206,Politics and Society
